# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
 2098       2.085430914015e+02       5.039493573277e+00       4.785816579199e-02      -7.911371038105e+00       2.042976242421e-09       4.853029628120e-07      -1.301742675273e-09 
 2099       2.079827619160e+02       5.030967412054e+00       4.780751528929e-02      -7.785460933896e+00       2.041381337296e-09       4.833340550226e-07      -6.165132730482e-10 
 2100       2.074168865687e+02       5.023075269199e+00       4.775675951692e-02      -7.660574370279e+00       2.039788866558e-09       4.813445411880e-07       7.147233060700e-11 
 2101       2.068455354574e+02       5.015815723769e+00       4.770589806195e-02      -7.536757835956e+00       2.038198880659e-09       4.793338256699e-07       7.621150925361e-10 
 2102       2.062687789852e+02       5.009187344118e+00       4.765493050989e-02      -7.414057986935e+00       2.036611430192e-09       4.773013097039e-07       1.455315376552e-09 
 2103       2.056866878606e+02       5.003188687882e+00       4.760385644473e-02      -7.292521646732e+00       2.035026565902e-09       4.752463913916e-07       2.150972952009e-09 
 2104       2.050993411447e+02       4.997817132647e+00       4.755267577672e-02      -7.172191071233e+00       2.033444323575e-09       4.731686414255e-07       2.848962787541e-09 
 2105       2.045068504531e+02       4.993065359089e+00       4.750138972831e-02      -7.053089706899e+00       2.031864678498e-09       4.710683322820e-07       3.549062158928e-09 
 2106       2.039093359231e+02       4.988924843336e+00       4.744999985507e-02      -6.935236333867e+00       2.030287590371e-09       4.689459145341e-07       4.251022778030e-09 
 2107       2.033069181828e+02       4.985387024019e+00       4.739850771852e-02      -6.818649792347e+00       2.028713018346e-09       4.668018416273e-07       4.954594925273e-09 
 2108       2.026997183518e+02       4.982443302224e+00       4.734691488615e-02      -6.703348982692e+00       2.027140921027e-09       4.646365698861e-07       5.659527446257e-09 
 2109       2.020878580416e+02       4.980085041442e+00       4.729522293137e-02      -6.589352865461e+00       2.025571256470e-09       4.624505585217e-07       6.365567748340e-09 
 2110       2.014714593564e+02       4.978303567532e+00       4.724343343360e-02      -6.476680461488e+00       2.024003982176e-09       4.602442696384e-07       7.072461797233e-09 
 2111       2.008506448937e+02       4.977090168664e+00       4.719154797821e-02      -6.365350851947e+00       2.022439055092e-09       4.580181682414e-07       7.779954113587e-09 
 2112       2.002255377446e+02       4.976436095279e+00       4.713956815655e-02      -6.255383178421e+00       2.020876431607e-09       4.557727222430e-07       8.487787769575e-09 
 2113       1.995962614948e+02       4.976332560040e+00       4.708749556598e-02      -6.146796642965e+00       2.019316067552e-09       4.535084024703e-07       9.195704385471e-09 
 2114       1.989629402248e+02       4.976770737786e+00       4.703533180984e-02      -6.039610508174e+00       2.017757918193e-09       4.512256826723e-07       9.903444126230e-09 
 2115       1.983256985108e+02       4.977741765485e+00       4.698307849745e-02      -5.933844097252e+00       2.016201938234e-09       4.489250395263e-07       1.061074569806e-08 
 2116       1.976846614252e+02       4.979236742188e+00       4.693073724419e-02      -5.829516794074e+00       2.014648081811e-09       4.466069526458e-07       1.131734634500e-08 
 2117       1.970399545371e+02       4.981246728983e+00       4.687830967142e-02      -5.726648043258e+00       2.013096302490e-09       4.442719045871e-07       1.202298184547e-08 
 2118       1.963917039131e+02       4.983762748946e+00       4.682579740651e-02      -5.625257350227e+00       2.011546553266e-09       4.419203808565e-07       1.272738650885e-08 
 2119       1.957400361175e+02       4.986775787099e+00       4.677320208291e-02      -5.525364281276e+00       2.009998786560e-09       4.395528699175e-07       1.343029317204e-08 
 2120       1.950850782134e+02       4.990276790358e+00       4.672052534005e-02      -5.426988463642e+00       2.008452954217e-09       4.371698631979e-07       1.413143319602e-08 
 2121       1.944269577630e+02       4.994256667490e+00       4.666776882343e-02      -5.330149585568e+00       2.006909007500e-09       4.347718550967e-07       1.483053646237e-08 
 2122       1.937658028283e+02       4.998706289068e+00       4.661493418462e-02      -5.234867396368e+00       2.005366897094e-09       4.323593429917e-07       1.552733136990e-08 
 2123       1.931017419715e+02       5.003616487417e+00       4.656202308120e-02      -5.141161706498e+00       2.003826573099e-09       4.299328272459e-07       1.622154483111e-08 
 2124       1.924349042557e+02       5.008978056578e+00       4.650903717685e-02      -5.049052387618e+00       2.002287985027e-09       4.274928112155e-07       1.691290226878e-08 
 2125       1.917654192458e+02       5.014781752252e+00       4.645597814131e-02      -4.958559372662e+00       2.000751081804e-09       4.250398012564e-07       1.760112761251e-08 
